title,views,time-stamp-upload-milliseconds,time-stamp,date-time-hr,upload-time-hr,upload-time-stamp,description,video-length,video-length-milliseconds,channel
Dagen McDowell: Joe and Kamala should read the 'banned' books,34361,398000,1686830338864, 2023-06-15 13:58:58.864000, 2023-06-15 13:52:20.864000,1686829940864, The 'Outnumbered' panel discussed the parental movement to rid schools of sexually explicit books and how the Biden administration is pushing back on what they deem as 'book bans.' #FoxNews..., 6 minutes 38 seconds,398000,Fox-News
Japan's thriving over-80's football league | Al Jazeera Newsfeed,5813,86503000,1684393857683, 2023-05-18 09:10:57.683000, 2023-05-17 09:09:14.683000,1684307354683, Redefining old age one kick at a time. This 83-year-old former Japanese national team player is just one of the players in an over-80's football league. \r\n\r\nSubscribe to our channel  http://bit.ly..., 1 minute 43 seconds,103000,Al-Jazeera-English
Ukraine: A path to peace with parallel counteroffensive preparations? | DW News,71996,346063000,1682953634989, 2023-05-01 17:07:14.989000, 2023-04-27 16:59:31.989000,1682607571989, A long-awaited call between Ukrainian President Zelensky and Chinese President Xi Jinping has been hailed as an important step by both NATO and Kremlin officials. Both sides welcomed Wednesday's..., 7 minutes 43 seconds,463000,DW-News
Reimagining architecture: Sumayya Vally and Alejandro Aravena | Studio B: Unscripted,1108,175680000,1683023743907, 2023-05-02 12:35:43.907000, 2023-04-30 11:47:43.907000,1682848063907, Chilean architect Alejandro Aravena is best known for his innovative social housing solutions that confront problems around rapid urbanisation and inequality. In 2016 he was awarded the Pritzker..., 48 minutes 11 seconds,2891000,Al-Jazeera-English
‘The Five’: There’s a war on toilet paper now?,273474,86637000,1680916807185, 2023-04-08 03:20:07.185000, 2023-04-07 03:16:10.185000,1680830170185, 'The Five' co-hosts discuss 'climate crusaders' going after toilet paper and incandescent lightbulbs. #foxnews #fox #thefive \n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch more Fox..., 3 minutes 57 seconds,237000,Fox-News
Gavin Newsom makes big admission to Sean Hannity: 'I can't defend this',170162,83181000,1686735095433, 2023-06-14 11:31:35.433000, 2023-06-13 12:25:14.433000,1686651914433, Fox News host Sean Hannity exclusively interviews California Gov. Gavin Newsom who addresses the homelessness crisis and businesses leaving his state. #foxnews \n\nSubscribe to Fox News! https://bit..., 6 minutes 21 seconds,381000,Fox-News
Tim Scott leaves 'The View' speechless after confrontation,1170651,86860000,1686076809484, 2023-06-06 20:40:09.484000, 2023-06-05 20:32:29.484000,1685989949484, The 'Outnumbered' panel discussed Scott's interaction with the ladies on 'The View' and his 'incredibly thoughtful' dialogue on racism. #FoxNews \n\nSubscribe to Fox News! https://bit.ly/2vBUvAS..., 7 minutes 40 seconds,460000,Fox-News
Can a new bridge unite Sweden's divided society? | Focus on Europe,169547,259465000,1685607663535, 2023-06-01 10:21:03.535000, 2023-05-29 10:16:38.535000,1685348198535, A new bridge in Stockholm is set to connect a wealthy area with an underprivileged district. But some people are objecting to it triggering a divisive debate in Swedish society.\n\nSubscribe:..., 4 minutes 25 seconds,265000,DW-News
Areas to watch out for in Ukraine’s counteroffensive | Al Jazeera Newsfeed,34846,86550000,1686762388019, 2023-06-14 19:06:28.019000, 2023-06-13 19:03:58.019000,1686675838019, Russia is said to have built some of the most extensive lines of defence Europe has seen since WWII to hold onto parts of Ukraine. Now Ukraine’s counteroffensive has begun Al Jazeera’s..., 2 minutes 30 seconds,150000,Al-Jazeera-English
'INSANITY': Liberal city sees another violent Memorial Day weekend,236320,86742000,1685504967871, 2023-05-31 05:49:27.871000, 2023-05-30 05:43:45.871000,1685418225871, Ted Williams reacts to ongoing violence in Chicago as leadership changes in the mayor's office. #foxnews \n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch more Fox News Video: http://video.foxn..., 5 minutes 42 seconds,342000,Fox-News
Portugal's residents struggling with rising rents | DW News,176461,259662000,1683461033765, 2023-05-07 14:03:53.765000, 2023-05-04 13:56:11.765000,1683201371765, An overheated real-estate market is pricing out some households in Portugal. In Lisbon rents are rising exponentially and it's getting increasingly difficult for the residents to make ends..., 7 minutes 42 seconds,462000,DW-News
Is AI-generated fiction already making it hard to discern reality?,4269,10845000,1683715332129, 2023-05-10 12:42:12.129000, 2023-05-10 09:41:27.129000,1683704487129, An AI expert said AI technology is already capable of producing content so realistic that some people might be convinced that it's genuine. #foxnews #fox \n\nSubscribe to Fox News! https://bit.ly/2vB..., 45 seconds,45000,Fox-News
Suspect of Explosion Targeting Japanese Prime Minister Sent to Prosecutors,1000,172886000,1681911874559, 2023-04-19 15:44:34.559000, 2023-04-17 15:43:08.559000,1681738988559, The suspect arrested for committing an explosive attack on Japanese Prime Minister Fumio Kishida was sent to prosecutors Monday on charges of forcible obstruction of business Japan's Kyodo..., 1 minute 26 seconds,86000,CCTV-Video-News-Agency
Trump reveals actions he'll take in first 6 months as president,122465,86611000,1685772065826, 2023-06-03 08:01:05.826000, 2023-06-02 07:57:34.826000,1685685454826, Former President Donald Trump sits down with Sean Hannity in an exclusive Fox News town hall in Iowa.\n#foxnews #trump #hannity \n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch more Fox..., 3 minutes 31 seconds,211000,Fox-News
India ethnic violence: Security forces on alert in Manipur state,50876,86512000,1684055551932, 2023-05-14 11:12:31.932000, 2023-05-13 11:10:39.932000,1683969039932, Thousands of security personnel are on high alert in the northeast Indian state of Manipur.\nAt least 60 people were killed and 35000 others displaced in riots and ethnic violence last week...., 1 minute 52 seconds,112000,Al-Jazeera-English
House GOP called Biden's bluff and passed debt bill: Republican senator,34992,4140000,1683715332124, 2023-05-10 12:42:12.124000, 2023-05-10 11:33:12.124000,1683711192124, Sen. John Kennedy R-La. sounds off on 'Hannity' after President Biden meets with congressional leaders. #hannity  #foxnews \n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch more Fox..., 9 minutes,540000,Fox-News
Video shows Israeli police beat and injure Muslims demonstrators at mosque,43247,173276000,1681029196029, 2023-04-09 10:33:16.029000, 2023-04-07 10:25:20.029000,1680855920029, The Israeli military said that dozens of rockets were fired from Lebanon into Israel in a major escalation that comes amid regional tensions over Israeli police raids at the al-Aqsa mosque..., 7 minutes 56 seconds,476000,CNN-News
They ‘want’ the border chaos: Sen. Josh Hawley,77899,86813000,1684150910174, 2023-05-15 13:41:50.174000, 2023-05-14 13:34:57.174000,1684064097174, Sen. Josh Hawley R-Mo. discusses how the Biden administration’s border plan has been to ‘collapse’ America’s immigration system on ‘The Ingraham Angle.’\n\nSubscribe to Fox News!..., 6 minutes 53 seconds,413000,Fox-News
Giant Pandas Enjoy Refreshments at Chongqing Zoo,1148,172856000,1683066353656, 2023-05-03 00:25:53.656000, 2023-05-01 00:24:57.656000,1682893497656, Two pairs of giant panda twins gathered around a table for a breakfast party at Chongqing Zoo in southwest China's Chongqing City attracting many visitors during the ongoing Labor Day holiday..., 56 seconds,56000,CCTV-Video-News-Agency
Ukrainian soldier raises flag in newly liberated village,81052,173173000,1686768737257, 2023-06-14 20:52:17.257000, 2023-06-12 20:46:04.257000,1686595564257, Ukraine's offensive operations are gaining steam as they claim to have recaptured several villages from the Russians on the southeastern part of the front line. CNN's Frederik Pleitgen has..., 6 minutes 13 seconds,373000,CNN-News
Ingraham: Biden is lying about this,163519,86811000,1680433899003, 2023-04-02 13:11:39.003000, 2023-04-01 13:04:48.003000,1680347088003, Fox News host Laura Ingraham accuses the left of prioritizing anti-trans hate over anti-Christian hate and accuses them of lying about 'pernicious anti-trans hate' on 'The Ingraham Angle.'..., 6 minutes 51 seconds,411000,Fox-News
Colombia plane crash: New clues in search for missing children,1086,36141000,1685033494011, 2023-05-25 18:51:34.011000, 2023-05-25 08:49:13.011000,1684997353011, Colombia's army says it has found new clues in the search for four Indigenous children who appear to have survived a plane crash last month.\nThe group includes an 11-month-old baby. They were..., 2 minutes 21 seconds,141000,Al-Jazeera-English
Belarus: Persecution of opposition figures spills over to families - BBC Newsnight,20687,432437000,1684264281979, 2023-05-16 21:11:21.979000, 2023-05-11 21:04:04.979000,1683831844979, Opposition figures in Belarus - a country that's a close ally of Russia - have been persecuted since the late 1990s - not only have they been jailed but they've been allegedly killed - with..., 7 minutes 17 seconds,437000,BBC-News
He was released after decades in prison now a court says he must go back,84746,173069000,1681923659146, 2023-04-19 19:00:59.146000, 2023-04-17 18:56:30.146000,1681750590146, Crosley Green held a job and fell in love after his decades-long conviction was overturned then a Florida appellate court ruled he must report back to prison. He maintains his innocence. #CNN #News, 4 minutes 29 seconds,269000,CNN-News
Indigenous leaders in Brazil pressure gov’t to protect their land | Al Jazeera Newsfeed,4267,86515000,1681409170661, 2023-04-13 20:06:10.661000, 2023-04-12 20:04:15.661000,1681322655661, Brazil’s Indigenous leaders are joining forces to take on poachers and drug cartels who are invading remote areas in the Amazon home to uncontacted tribes.\r\n\r\nSubscribe to our channel  http://bit..., 1 minute 55 seconds,115000,Al-Jazeera-English
Sudan humanitarian crisis as diplomats flee - BBC News,117377,259516000,1682596516435, 2023-04-27 13:55:16.435000, 2023-04-24 13:50:00.435000,1682337000435, More than two dozen countries have been evacuating their citizens from Sudan’s capital Khartoum as fighting between two rival armed groups continues.\n\nMost of those being evacuated are diplomats..., 5 minutes 16 seconds,316000,BBC-News
Trump loses appeal to block Pence from testifying,124422,173058000,1682874491192, 2023-04-30 19:08:11.192000, 2023-04-28 19:03:53.192000,1682701433192, Former President Donald Trump has lost an emergency attempt to block former Vice President Mike Pence from testifying about their direct conversations in the latest boost to a federal criminal..., 4 minutes 18 seconds,258000,CNN-News
Number of Holidaymakers to Guangdong Witness 80 Pct Rise on First Day of Labor Day Holiday,1347,172895000,1683066353663, 2023-05-03 00:25:53.663000, 2023-05-01 00:24:18.663000,1682893458663, Guangdong Province in south China embraced an astounding 2.2 million tourists in 150 of its major tourist attractions on Saturday the first day of the five-day Labor Day holiday up 80.1 percent..., 1 minute 35 seconds,95000,CCTV-Video-News-Agency
Russian forces ‘lack will’: Top US general’s assessment of the war in Ukraine,517997,259814000,1682389389477, 2023-04-25 04:23:09.477000, 2023-04-22 04:12:55.477000,1682129575477, While the Ukrainian military “continues to perform very well” in its fight against Russia the Russian military lacks will and morale US Gen. Mark Milley chairman of the Joint Chiefs..., 10 minutes 14 seconds,614000,CNN-News
Elon Musk in China: Entrepreneur looking to expand Tesla deals,9064,79422000,1685604950988, 2023-06-01 09:35:50.988000, 2023-05-31 11:32:08.988000,1685525528988, Tesla's Chief Executive Elon Musk is in China on what's described as a high-stakes business trip.\n\nThe entrepreneur has met with Chinese foreign and trade ministers.\nThey discussed development..., 3 minutes 42 seconds,222000,Al-Jazeera-English
Judge Jeanine: Kamala Harris is an embarrassment,259870,86964000,1682645851892, 2023-04-28 03:37:31.892000, 2023-04-27 03:28:07.892000,1682558887892, 'The Five' co-hosts discuss the White House attempting to revamp Vice President Kamala Harris' image ahead of 2024. #foxnews #fox #thefive \n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch..., 9 minutes 24 seconds,564000,Fox-News
Lack of communication between US and China: How dangerous could it be? | DW News,153698,173452000,1684532499414, 2023-05-19 23:41:39.414000, 2023-05-17 23:30:47.414000,1684359047414, Japan and China have used a new military hotline for the first time. Years of negotiation culminated in a 20 minute phone call between the Japanese Defence Minister  and his Chinese counterpart...., 10 minutes 52 seconds,652000,DW-News
Israel judicial overhaul: PM Netanyahu to halt planned changes: Reports,54670,86939000,1679995455568, 2023-03-28 11:24:15.568000, 2023-03-27 11:15:16.568000,1679908516568, PM Benjamin Netanyahu holds emergency talks as protests against his judicial overhaul escalate.\nIsraeli airports authority says out bound flights from international airport grounded after strike...., 8 minutes 59 seconds,539000,Al-Jazeera-English
Navy ripped for using drag queen for recruitment efforts,61162,86723000,1683315737785, 2023-05-05 21:42:17.785000, 2023-05-04 21:36:54.785000,1683229014785, Andrew Rose who was discharged for refusing the COVID vaccine joined 'Fox \u0026 Friends First' to discuss his take on the military's 'woke' effort to recruit additional service members. #FoxNews..., 5 minutes 23 seconds,323000,Fox-News
Nashville shooter identified as 28-year-old woman,650040,79474000,1680022624061, 2023-03-28 18:57:04.061000, 2023-03-27 20:52:30.061000,1679943150061, Fox News' Jonathan Serrie provides details on the mass shooting at The Covenant School in Tennessee. #FoxNews\n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch more Fox News Video: http://video...., 4 minutes 34 seconds,274000,Fox-News
Prigozhin: Wagner Group will leave Bakhmut Russian defense officials to blame | DW News,1615083,346500000,1683655453730, 2023-05-09 20:04:13.730000, 2023-05-05 19:49:13.730000,1683308953730, In breaking news regarding the Russian invasion of Ukraine the founder of the Russian mercenary group known as Wagner says his forces will leave the Ukrainian city of Bakhmut early next week...., 15 minutes 57 seconds,957000,DW-News
Shenzhou-15 Manned Spaceship Successfully Lands in North China,10961,172957000,1686036040409, 2023-06-06 09:20:40.409000, 2023-06-04 09:18:03.409000,1685863083409, The Shenzhou-15 crew returned to Earth on Sunday morning after fulfilling a six-month mission and completing the in-orbit crew rotation with their Shenzhou-16 colleagues in space.\nhttps://www.cctvp..., 2 minutes 37 seconds,157000,CCTV-Video-News-Agency
Alexandria Ocasio-Cortez reacts to Texas judge's abortion pill ruling,228527,259795000,1681219022421, 2023-04-11 15:17:02.421000, 2023-04-08 15:07:07.421000,1680959227421," Rep. Alexandria Ocasio-Cortez (D-NY) explains to CNN's Anderson Cooper why she believes the Biden administration should \""ignore\"" a ruling from a federal judge in Texas that halted the approval...", 9 minutes 55 seconds,595000,CNN-News
Rwandan genocide fugitive Fulgence Kayishema arrested in S Africa,10130,86761000,1685173584128, 2023-05-27 09:46:24.128000, 2023-05-26 09:40:23.128000,1685086823128, Rwandan genocide suspect Fulgence Kayishema has been arrested in South Africa the United Nations tribunal for war crimes committed in Rwanda said on Thursday.\n\nHe was arrested on Wednesday..., 6 minutes 1 second,361000,Al-Jazeera-English
Biden family crimes to be exposed: Rep. Jim Jordan,132527,86644000,1682478608940, 2023-04-26 05:10:08.940000, 2023-04-25 05:06:04.940000,1682391964940, House Judiciary Committee Chairman Rep. Jim Jordan R-Ohio tells Will Cain on ‘Jesse Watters Primetime’ that the largest question in the Hunter Biden case is why the Bidens received money..., 4 minutes 4 seconds,244000,Fox-News
Training Specially Tailored for Crew Prior to Shenzhou-16 Launch: Astronautics Designer,1018,172999000,1685693139221, 2023-06-02 10:05:39.221000, 2023-05-31 10:02:20.221000,1685520140221, The training for the three astronauts just sent to space aboard the Shenzhou-16 manned spaceship was specially tailored to match their different backgrounds and roles said a professional when..., 3 minutes 19 seconds,199000,CCTV-Video-News-Agency
‘The Five’: This could lead to catastrophic consequences,172599,83252000,1680212652451, 2023-03-30 23:44:12.451000, 2023-03-30 00:36:40.451000,1680129400451, 'The Five' co-hosts discuss Elon Musk and other tech leaders warning about the dangers of artificial intelligence and calling for a development pause over concerns it can't be controlled. #foxnews..., 7 minutes 32 seconds,452000,Fox-News
Hannity: This is an extreme policy,64089,86858000,1684475409135, 2023-05-19 07:50:09.135000, 2023-05-18 07:42:31.135000,1684388551135, Fox News host Sean Hannity details the drawbacks of racial reparations on 'Hannity.'\n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch more Fox News Video: http://video.foxnews.com\nWatch..., 7 minutes 38 seconds,458000,Fox-News
Should breathing clean air be a fundamental human right? | Inside Story,3180,88020000,1686490323331, 2023-06-11 15:32:03.331000, 2023-06-10 15:05:03.331000,1686402303331, From Lahore to New Delhi and from Baghdad to Mexico City there are few places on Earth where air pollution is not a problem.\r\n\r\nIt affects the quality of life for billions of people.\r\n\r\nAnd..., 27 minutes 6 seconds,1626000,Al-Jazeera-English
Manhattan DA Alvin Bragg explains charges against Donald Trump,357794,173554000,1680857899911, 2023-04-07 10:58:19.911000, 2023-04-05 10:45:45.911000,1680684345911, Manhattan District Attorney Alvin Bragg spoke after former President Donald Trump’s arraignment saying that the former president is being held to the same standard as anyone who has committed..., 12 minutes 34 seconds,754000,CNN-News
Top Australian soldier Ben Roberts-Smith loses defamation case - BBC News,41524,345786000,1686007883964, 2023-06-06 01:31:23.964000, 2023-06-02 01:28:17.964000,1685662097964, Australia's most-decorated living soldier Ben Roberts-Smith has lost a historic defamation case against three newspapers that accused him of war crimes in Afghanistan.\n\nThe outlets were sued..., 3 minutes 6 seconds,186000,BBC-News
Fact Check: How to spot AI images?,22997,259702000,1683018302523, 2023-05-02 11:05:02.523000, 2023-04-29 10:56:40.523000,1682758600523, Images that look deceptively real but were created with the help of artificial intelligence are flooding the Internet. Here are 6 tips on how we can tell real from fake.\n\n#factchecker #ai #fakenews..., 8 minutes 22 seconds,502000,DW-News
Former Pakistani PM Khan detained by security officials | DW News,15785,259377000,1683914898595, 2023-05-12 20:08:18.595000, 2023-05-09 20:05:21.595000,1683655521595, Pakistani former Prime Minister Imran Khan was taken into custody by paramilitary forces on Tuesday. The former leader was arrested during a court appearance in Islamabad over anti-graft charges...., 2 minutes 57 seconds,177000,DW-News
US arrests man in probe into classified Pentagon documents leak,11856,86535000,1681579192029, 2023-04-15 19:19:52.029000, 2023-04-14 19:17:37.029000,1681492657029, A member of the United States Air Force National Guard has been arrested on suspicion of leaking highly classified documents online.\r\nThey include sensitive military intelligence about the..., 2 minutes 15 seconds,135000,Al-Jazeera-English
See what happened when journalists filmed suspected Russian spy ship,745275,259540000,1682343047345, 2023-04-24 15:30:47.345000, 2023-04-21 15:25:07.345000,1682083507345, Russia has a fleet of suspected spy ships operating in Nordic waters as part of a program for the potential sabotage of underwater cables and wind farms in the region according to a joint..., 5 minutes 40 seconds,340000,CNN-News
What does Gavin Newsom think of Trump's indictment?,115434,82999000,1686722419451, 2023-06-14 08:00:19.451000, 2023-06-13 08:57:00.451000,1686639420451, California Democratic Gov. Gavin Newsom sounds off in wide-ranging 'Hannity' interview. #foxnews #hannity \n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch more Fox News Video: http://video.fo..., 3 minutes 19 seconds,199000,Fox-News
China Urges U.S.-LED NATO to Reflect on Past Crimes Cease Creating Turmoil,3248,172908000,1683729840235, 2023-05-10 16:44:00.235000, 2023-05-08 16:42:12.235000,1683556932235, China urges the U.S.-led NATO to reflect on its past crimes stop stoking regional tensions and cease creating division and turmoil said the Chinese Foreign Ministry on Monday.\nhttps://www.cctvplu..., 1 minute 48 seconds,108000,CCTV-Video-News-Agency
China sentences US citizen 78 to life in prison for spying – BBC News,84707,259492000,1684493526673, 2023-05-19 12:52:06.673000, 2023-05-16 12:47:14.673000,1684234034673, A Chinese court has sentenced a 78-year-old US citizen to life in prison on spying charges.\n\nJohn Shing-Wan Leung who is a permanent resident in Hong Kong was jailed on Monday.\n\nThe court..., 4 minutes 52 seconds,292000,BBC-News
China's Top Legislator Meets PMs of Singapore Spain Malaysia,3320,172992000,1680521832760, 2023-04-03 13:37:12.760000, 2023-04-01 13:34:00.760000,1680348840760, China's top legislator Zhao Leji met respectively with Singaporean Prime Minister Lee Hsien Loong Spanish Prime Minister Pedro Sanchez and Malaysian Prime Minister Datuk Seri Anwar Ibrahim..., 3 minutes 12 seconds,192000,CCTV-Video-News-Agency
'Ukraine’s future is in the Euro-Atlantic family' | DW News,122837,260086000,1682403935889, 2023-04-25 08:25:35.889000, 2023-04-22 08:10:49.889000,1682143849889, NATO Secretary General Jens Stoltenberg told reporters in Ramstein Germany on Friday that member states agreed in principle that Ukraine should join the bloc. \nStoltenberg had just returned..., 14 minutes 46 seconds,886000,DW-News
NATO chief says Putin is getting ‘the exact opposite’ of what he wanted,252619,86783000,1683853271256, 2023-05-12 03:01:11.256000, 2023-05-11 02:54:48.256000,1683766488256, NATO Secretary General Jens Stoltenberg discusses the state of the war in Ukraine and says that Russian President Vladimir Putin made three big strategic mistakes in deciding to invade a neighborin..., 6 minutes 23 seconds,383000,CNN-News
Fierce fighting continues in Sudan after brief humanitarian pause,225213,86954000,1681806717510, 2023-04-18 10:31:57.510000, 2023-04-17 10:22:43.510000,1681719763510, Fierce fighting has resumed in Sudan’s capital Khartoum after an hours-long pause to address humanitarian needs on the second day of deadly battles between rival military factions jostling..., 9 minutes 14 seconds,554000,Al-Jazeera-English
China Launches 56th Beidou Navigation Satellite,3015,86467000,1684417403730, 2023-05-18 15:43:23.730000, 2023-05-17 15:42:16.730000,1684330936730, China on Wednesday launched a geostationary satellite into orbit marking another step toward improving the country's BeiDou navigation system.\nhttps://www.cctvplus.com/news/20230517/8324857.shtml#..., 1 minute 7 seconds,67000,CCTV-Video-News-Agency
Costa Rica Welcomes Chinese Tourists: President,708,173015000,1683015589942, 2023-05-02 10:19:49.942000, 2023-04-30 10:16:14.942000,1682842574942, Costa Rica seeks to attract more Chinese tourists with its unique natural beauty said Costa Rican President Rodrigo Chaves Robles during an interview with China Media Group (CMG).\nhttps://www.cctv..., 3 minutes 35 seconds,215000,CCTV-Video-News-Agency
Why is the debt ceiling so contentious in the United States? | Counting the Cost,6836,87900000,1685900777124, 2023-06-04 19:46:17.124000, 2023-06-03 19:21:17.124000,1685812877124, Each time the United States nears its debt ceiling Americans and the rest of the world seem to anticipate catastrophic consequences.\r\n\r\nCongress often has to vote to raise or suspend the amount..., 25 minutes 11 seconds,1511000,Al-Jazeera-English
Mexico acid attacks: Activists call for tougher penalties,4205,86547000,1680699463159, 2023-04-05 14:57:43.159000, 2023-04-04 14:55:16.159000,1680612916159, In Mexico women’s rights ctivists are urging the government to toughen laws against acid attacks. \r\nLegislation was recently approved that would re-classify attacks involving chemicals...., 2 minutes 27 seconds,147000,Al-Jazeera-English
Oscar Pistorius denied parole in South Africa  - BBC News,50189,345856000,1680630587889, 2023-04-04 19:49:47.889000, 2023-03-31 19:45:31.889000,1680284731889, Oscar Pistorius the former Paralympian who murdered his girlfriend Reeva Steenkamp has been denied parole in South Africa.\n\nThe 36-year-old had been seeking early release 10 years after the..., 4 minutes 16 seconds,256000,BBC-News
Shootings involving homeowners prompt more US gun control debate,2026,86537000,1681989889854, 2023-04-20 13:24:49.854000, 2023-04-19 13:22:32.854000,1681903352854, US President Joe Biden has renewed calls for tighter gun control measures after two shootings involving homeowners this past week.\nIn the state of Missouri an 84-year-old man has been charged..., 2 minutes 17 seconds,137000,Al-Jazeera-English
Floods in Russian-controlled Kherson: Emergency crews 'hit by Ukrainian shelling',22311,86618000,1686322558949, 2023-06-09 16:55:58.949000, 2023-06-08 16:52:20.949000,1686235940949, Moscow says Ukraine has been shelling an evacuation point for civilians affected by dam breach flooding.\n President Volodymyr Zelenckyy visits flood hit Kherson region following dam destruction...., 3 minutes 38 seconds,218000,Al-Jazeera-English
Hannity: This is the left's latest witch hunt,47685,83066000,1681386469772, 2023-04-13 13:47:49.772000, 2023-04-12 14:43:23.772000,1681303403772, Fox News host Sean Hannity reacts to Manhattan DA suing Rep. Jim Jordan to allegedly block congressional oversight on 'Hannity.'\n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch more Fox..., 4 minutes 26 seconds,266000,Fox-News
Can Russia take Bakhmut without the Wagner Group? | DW News,311437,259577000,1683751645513, 2023-05-10 22:47:25.513000, 2023-05-07 22:41:08.513000,1683492068513, The head of the UN's nuclear watchdog has warned of a potentially dangerous situation around the Zaporizhzhia nuclear station in Ukraine. Officials installed by Moscow have begun evacuating..., 6 minutes 17 seconds,377000,DW-News
